facility_name,licensee,facility_address,facility_city,facility_zip,county_name,facility_capacity,facility_status,license_first_date,closed_date,months_operated,facility_telephone_number,risk_score,google_maps_url,phone_clean
MOTHER LODE MOUNTAIN TOTS PRESCHOOL,MOTHER LODE MOUNTAIN TOTS PRESCHOOL LLC,23714 STATE HIGHWAY 88,PIONEER,95666,AMADOR,45,CLOSED,9/25/2023,1/31/2024,4.3,(209) 457-0995,5,https://www.google.com/maps/search/23714%20STATE%20HIGHWAY%2088%2C%20PIONEER%2C%20CA,2094570995
MOTHER LODE MOUNTAIN TOTS PRESCHOOL,MOTHER LODE MOUNTAIN TOTS PRESCHOOL LLC,23714 STATE HIGHWAY 88,PIONEER,95666,AMADOR,50,CLOSED,1/30/2024,3/19/2025,13.8,(209) 457-0995,5,https://www.google.com/maps/search/23714%20STATE%20HIGHWAY%2088%2C%20PIONEER%2C%20CA,2094570995
"NASCIMENTO, LACEY","NASCIMENTO, LACEY",Unavailable,MANTECA,95337,SAN JOAQUIN,14,CLOSED,7/31/2020,2/4/2022,18.4,(209) 481-5710,9,https://www.google.com/maps/search/Unavailable%2C%20MANTECA%2C%20CA,2094815710
"NASCIMENTO, LACEY","NASCIMENTO, LACEY",Unavailable,ESCALON,95320,SAN JOAQUIN,14,CLOSED,2/4/2022,2/14/2024,24.7,(209) 481-5710,6,https://www.google.com/maps/search/Unavailable%2C%20ESCALON%2C%20CA,2094815710
PLAY ADVENTURES INC,PLAY ADVENTURES INC,655 G ST,MERCED,95341,MERCED,24,CLOSED,10/23/2023,1/24/2025,15.3,(209) 600-3372,7,https://www.google.com/maps/search/655%20G%20ST%2C%20MERCED%2C%20CA,2096003372
PLAY ADVENTURES INC,PLAY ADVENTURES INC,655 G ST,MERCED,95341,MERCED,22,CLOSED,10/23/2023,1/24/2025,15.3,(209) 600-3372,7,https://www.google.com/maps/search/655%20G%20ST%2C%20MERCED%2C%20CA,2096003372
"SUKENIK, NAOMI FAMILY CHILD CARE","SUKENIK, NAOMI",Unavailable,MERCED,95340,MERCED,14,CLOSED,12/1/2020,1/4/2024,37.6,(209) 600-3372,6,https://www.google.com/maps/search/Unavailable%2C%20MERCED%2C%20CA,2096003372
KIDS' COMMUNITY CAMPUS,"MENDOZA, EUNICE G",2490 N WALNUT RD,TURLOCK,95382,STANISLAUS,64,CLOSED,11/17/2020,6/17/2024,43.6,(209) 620-8389,6,https://www.google.com/maps/search/2490%20N%20WALNUT%20RD%2C%20TURLOCK%2C%20CA,2096208389
KIDS' COMMUNITY CAMPUS,"MENDOZA, EUNICE G",2490 N WALNUT RD,TURLOCK,95382,STANISLAUS,24,CLOSED,11/17/2020,6/17/2024,43.6,(209) 620-8389,6,https://www.google.com/maps/search/2490%20N%20WALNUT%20RD%2C%20TURLOCK%2C%20CA,2096208389
KIDS' COMMUNITY CAMPUS,"MENDOZA, EUNICE G",2490 N WALNUT RD,TURLOCK,95382,STANISLAUS,32,CLOSED,11/17/2020,6/17/2024,43.6,(209) 620-8389,6,https://www.google.com/maps/search/2490%20N%20WALNUT%20RD%2C%20TURLOCK%2C%20CA,2096208389
WHERE THE WILD THINGS PLAY PRESCHOOL LLC,"DIXON, LORI",5112 BULLION ST,MARIPOSA,95338,MARIPOSA,28,CLOSED,8/6/2022,10/27/2023,14.9,(209) 742-9453,9,https://www.google.com/maps/search/5112%20BULLION%20ST%2C%20MARIPOSA%2C%20CA,2097429453
WHERE THE WILD THINGS PLAY PRESCHOOL LLC,"DIXON, LORI",5112 BULLION ST,MARIPOSA,95338,MARIPOSA,60,CLOSED,8/6/2022,11/26/2023,15.9,(209) 742-9453,9,https://www.google.com/maps/search/5112%20BULLION%20ST%2C%20MARIPOSA%2C%20CA,2097429453
ACADEMY OF CHILD DEVELOPMENT & AMORE,ACADEMY OF CHILD DEVELOPMENT & AMORE LLC,170 EAST FRENCH CAMP ROAD,FRENCH CAMP,95321,SAN JOAQUIN,12,LICENSED,2/18/2022,,,(209) 898-2958,5,https://www.google.com/maps/search/170%20EAST%20FRENCH%20CAMP%20ROAD%2C%20FRENCH%20CAMP%2C%20CA,2098982958
ACADEMY OF CHILD DEVELOPMENT & AMORE,ACADEMY OF CHILD DEVELOPMENT & AMORE LLC,170 EAST FRENCH CAMP ROAD,FRENCH CAMP,95231,SAN JOAQUIN,10,LICENSED,5/12/2021,,,(209) 898-2958,5,https://www.google.com/maps/search/170%20EAST%20FRENCH%20CAMP%20ROAD%2C%20FRENCH%20CAMP%2C%20CA,2098982958
ACADEMY OF CHILD DEVELOPMENT & AMORE,ACADEMY OF CHILD DEVELOPMENT & AMORE LLC,170 EAST FRENCH CAMP ROAD,FRENCH CAMP,95231,SAN JOAQUIN,40,LICENSED,5/12/2021,,,(209) 898-2958,5,https://www.google.com/maps/search/170%20EAST%20FRENCH%20CAMP%20ROAD%2C%20FRENCH%20CAMP%2C%20CA,2098982958
"CAMPUS II, INC, THE","CAMPUS II, INC, THE",6311 PACIFIC AVENUE,STOCKTON,95207,SAN JOAQUIN,20,CLOSED,1/11/2021,8/11/2023,31.4,(209) 951-5437,6,https://www.google.com/maps/search/6311%20PACIFIC%20AVENUE%2C%20STOCKTON%2C%20CA,2099515437
"CAMPUS II, INC, THE","CAMPUS II, INC, THE",6311 PACIFIC AVENUE,STOCKTON,95207,SAN JOAQUIN,30,CLOSED,1/11/2021,8/11/2023,31.4,(209) 951-5437,6,https://www.google.com/maps/search/6311%20PACIFIC%20AVENUE%2C%20STOCKTON%2C%20CA,2099515437
PRECIOUS MEMORIES CHILDCARE,PRECIOUS MEMORIES CHILDCARE LLC,6311 PACIFIC AVE,STOCKTON,95207,SAN JOAQUIN,30,CLOSED,8/11/2023,3/31/2025,19.9,(209) 951-5437,7,https://www.google.com/maps/search/6311%20PACIFIC%20AVE%2C%20STOCKTON%2C%20CA,2099515437
PRECIOUS MEMORIES CHILDCARE,PRECIOUS MEMORIES CHILDCARE LLC,6311 PACIFIC AVE,STOCKTON,95207,SAN JOAQUIN,20,CLOSED,8/11/2023,3/31/2025,19.9,(209) 951-5437,7,https://www.google.com/maps/search/6311%20PACIFIC%20AVE%2C%20STOCKTON%2C%20CA,2099515437
XU & CHEN FAMILY CHILD CARE,BING YAN XU & YING CHEN,Unavailable,ALAHAMBRA,91803,LOS ANGELES,14,CLOSED,6/24/2022,8/30/2023,14.4,(213) 267-2267,9,https://www.google.com/maps/search/Unavailable%2C%20ALAHAMBRA%2C%20CA,2132672267
XU & CHEN FAMILY CHILD CARE,BING YAN XU & JIAN SHENG CHEN,Unavailable,ALHAMBRA,91801,LOS ANGELES,14,CLOSED,7/3/2020,6/23/2022,24.0,(213) 267-2267,6,https://www.google.com/maps/search/Unavailable%2C%20ALHAMBRA%2C%20CA,2132672267
BRELLA PASADENA,BRELLA PASADENA LLC,475 S LAKE AVENUE,PASADENA,91101,LOS ANGELES,30,CLOSED,7/13/2023,7/19/2024,12.4,(213) 300-5962,7,https://www.google.com/maps/search/475%20S%20LAKE%20AVENUE%2C%20PASADENA%2C%20CA,2133005962
