facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,address_normalized,full_address,fraud_score,fraud_flags,licensee_normalized,license_year,closed_year,google_maps_url
child_care_centers,414004456,2ND GENERATION CABOT (PS),BRIGHT HORIZONS CHILDREN'S CENTERS LLC,HOLLY ANDERSON,(650) 225-3666,342 ALLERTON AVE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,5,264,LICENSED,2018-04-25,,5252025,342 ALLERTON AVE,"342 ALLERTON AVE, SOUTH SAN FRANCISCO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,2018.0,,https://www.google.com/maps/search/342%20ALLERTON%20AVE%2C%20SOUTH%20SAN%20FRANCISCO%2C%20CA
child_care_centers,493010019,4CS MEADOW PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,IMAN SENAN,(707) 544-3077,880 MARIA DRIVE,PETALUMA,CA,94954,SONOMA,1,43,CLOSED,2021-02-05,2022-08-12,5252025,880 MARIA DRIVE,"880 MARIA DRIVE, PETALUMA",6,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; SHORT_LIVED; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,2021.0,2022.0,https://www.google.com/maps/search/880%20MARIA%20DRIVE%2C%20PETALUMA%2C%20CA
child_care_centers,45407858,A BRIGHT STARR PRESCHOOL & DAYCARE,"GENTLES, STARR L","GENTLES, STARR L",(530) 533-7160,1276 FEATHER RIVER BLVD,OROVILLE,CA,95965,BUTTE,13,60,LICENSED,2021-01-08,,5252025,1276 FEATHER RIVER BLVD,"1276 FEATHER RIVER BLVD, OROVILLE",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"GENTLES, STARR L",2021.0,,https://www.google.com/maps/search/1276%20FEATHER%20RIVER%20BLVD%2C%20OROVILLE%2C%20CA
child_care_centers,15700561,ABC PRESCHOOL & DAYCARE,"FOOTSTEPS PRESCHOOL, INC.","MALHOTRA, ANUPAMA",(408) 839-5669,20135 SAN MIGUEL AVENUE,CASTRO VALLEY,CA,94546,ALAMEDA,52,21,LICENSED,2022-06-02,,5252025,20135 SAN MIGUEL AVENUE,"20135 SAN MIGUEL AVENUE, CASTRO VALLEY",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"FOOTSTEPS PRESCHOOL, INC.",2022.0,,https://www.google.com/maps/search/20135%20SAN%20MIGUEL%20AVENUE%2C%20CASTRO%20VALLEY%2C%20CA
child_care_centers,197494715,ABC SCHOOL HOUSE,SHIRO PERERA TORQUATO & ABC SCHOOL HOUSE LLC,"BERNET-LEGUM, SUZANNE",(818) 842-8466,4102 W. VICTORY BLVD,BURBANK,CA,91505,LOS ANGELES,58,58,CLOSED,2020-12-31,2022-07-26,5252025,4102 W VICTORY BLVD,"4102 W VICTORY BLVD, BURBANK",3,COVID_ERA_LICENSE; SHORT_LIVED; ,SHIRO PERERA TORQUATO & ABC SCHOOL HOUSE LLC,2020.0,2022.0,https://www.google.com/maps/search/4102%20W.%20VICTORY%20BLVD%2C%20BURBANK%2C%20CA
child_care_centers,485407942,ABOVE & BEYOND PRESCHOOL,PAULA ROWLAND,"ROWLAND, PAULA",(707) 386-3171,126 PEABODY ROAD,VACAVILLE,CA,95687,SOLANO,1,27,LICENSED,2021-08-09,,5252025,126 PEABODY ROAD,"126 PEABODY ROAD, VACAVILLE",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,PAULA ROWLAND,2021.0,,https://www.google.com/maps/search/126%20PEABODY%20ROAD%2C%20VACAVILLE%2C%20CA
child_care_centers,304371441,ACACIA MONTESSORI SCHOOL,"CHUNG, SUN PARK","CHUNG, SUN",(714) 526-7855,1701 EAST CHAPMAN AVENUE,FULLERTON,CA,92831,ORANGE,6,54,LICENSED,2021-02-01,,5252025,1701 EAST CHAPMAN AVENUE,"1701 EAST CHAPMAN AVENUE, FULLERTON",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,"CHUNG, SUN PARK",2021.0,,https://www.google.com/maps/search/1701%20EAST%20CHAPMAN%20AVENUE%2C%20FULLERTON%2C%20CA
child_care_centers,394500315,ACADEMY OF CHILD DEVELOPMENT & AMORE,ACADEMY OF CHILD DEVELOPMENT & AMORE LLC,AIDA LOMELI,(209) 898-2958,170 EAST FRENCH CAMP ROAD,FRENCH CAMP,CA,95231,SAN JOAQUIN,53,40,LICENSED,2021-05-12,,5252025,170 EAST FRENCH CAMP ROAD,"170 EAST FRENCH CAMP ROAD, FRENCH CAMP",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,ACADEMY OF CHILD DEVELOPMENT & AMORE LLC,2021.0,,https://www.google.com/maps/search/170%20EAST%20FRENCH%20CAMP%20ROAD%2C%20FRENCH%20CAMP%2C%20CA
child_care_centers,197750161,ACADEMY OF EXCELLENCE,CHAUNCY SMITH,CHAUNCY SMITH,(661) 206-9344,1324 WEST AVENUE J SUITE 5,LANCASTER,CA,93534,LOS ANGELES,12,53,LICENSED,2023-06-16,,5252025,1324 WEST AVENUE J SUITE 5,"1324 WEST AVENUE J SUITE 5, LANCASTER",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,CHAUNCY SMITH,2023.0,,https://www.google.com/maps/search/1324%20WEST%20AVENUE%20J%20SUITE%205%2C%20LANCASTER%2C%20CA
child_care_centers,493010083,ACHIEVERS,NANAK GLOBAL INC.,SYDNEY SOOS,(707) 539-6232,573 SUMMERFIELD ROAD,SANTA ROSA,CA,95405,SONOMA,1,90,LICENSED,2021-09-01,,5252025,573 SUMMERFIELD ROAD,"573 SUMMERFIELD ROAD, SANTA ROSA",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,NANAK GLOBAL INC.,2021.0,,https://www.google.com/maps/search/573%20SUMMERFIELD%20ROAD%2C%20SANTA%20ROSA%2C%20CA
