facility_name,licensee,facility_address,facility_city,facility_zip,county_name,facility_capacity,facility_status,license_first_date,closed_date,months_operated,facility_telephone_number,risk_score,google_maps_url
GIANT STEPS CHILD CARE CENTER,"G&M CARE, INC.",6951 OBISPO,LONG BEACH,90805,LOS ANGELES,19,CLOSED,4/6/2021,6/29/2022,15.0,(562) 633-5700,10,https://www.google.com/maps/search/6951%20OBISPO%2C%20LONG%20BEACH%2C%20CA
SUPERIOR CHILDREN'S CENTER,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,4301 E. COMMERCE WAY,SACRAMENTO,95834,SACRAMENTO,84,CLOSED,5/17/2021,12/22/2022,19.5,(617) 673-8000,10,https://www.google.com/maps/search/4301%20E.%20COMMERCE%20WAY%2C%20SACRAMENTO%2C%20CA
LITTLE SUNSHINE LEARNING CENTER-INFANT,LITTLE SUNSHINE LEARNING CENTER LLC,15 WOODLAND ROAD,ST. HELENA,94574,NAPA,4,CLOSED,3/26/2021,7/13/2022,15.8,(702) 786-2237,10,https://www.google.com/maps/search/15%20WOODLAND%20ROAD%2C%20ST.%20HELENA%2C%20CA
CARING HEARTS CHILD DEVELOPMENT CENTER LLC,CARING HEARTS CHILD DEVELOPMENT CENTER LLC,1558 W BASELINE ST,SAN BERNARDINO,92411,SAN BERNARDINO,13,CLOSED,7/19/2022,11/9/2023,15.9,(909) 571-5499,10,https://www.google.com/maps/search/1558%20W%20BASELINE%20ST%2C%20SAN%20BERNARDINO%2C%20CA
HAGGINWOOD ACADEMY,HAGGINWOOD ACADEMY LLC,3240 MARYSVILLE BLVD,SACRAMENTO,95815,SACRAMENTO,23,CLOSED,11/9/2020,10/29/2021,11.8,(916) 696-7575,10,https://www.google.com/maps/search/3240%20MARYSVILLE%20BLVD%2C%20SACRAMENTO%2C%20CA
BRIGHT FUTURES PRESCHOOL,BRIGHT FUTURES PRESCHOOL LLC,608 KENTUCKY,BAKERSFIELD,93305,KERN,11,CLOSED,9/17/2020,8/31/2022,23.8,(661) 631-5555,10,https://www.google.com/maps/search/608%20KENTUCKY%2C%20BAKERSFIELD%2C%20CA
TINKER LEARNING CENTER,TINKER LEARNING ACADEMY LLC,17535 DEL MONTE AVENUE,MORGAN HILL,95037,SANTA CLARA,30,CLOSED,9/15/2022,1/24/2023,4.4,(408) 779-7678,10,https://www.google.com/maps/search/17535%20DEL%20MONTE%20AVENUE%2C%20MORGAN%20HILL%2C%20CA
TINKER LEARNING CENTER,TINKER LEARNING ACADEMY LLC,17535 DEL MONTE AVENUE,MORGAN HILL,95037,SANTA CLARA,72,CLOSED,9/15/2022,6/4/2024,20.9,(408) 779-7678,10,https://www.google.com/maps/search/17535%20DEL%20MONTE%20AVENUE%2C%20MORGAN%20HILL%2C%20CA
TINKER LEARNING CENTER,TINKER LEARNING ACADEMY LLC,17535 DEL MONTE AVENUE,MORGAN HILL,95037,SANTA CLARA,24,CLOSED,9/15/2022,6/4/2024,20.9,(408) 779-7678,10,https://www.google.com/maps/search/17535%20DEL%20MONTE%20AVENUE%2C%20MORGAN%20HILL%2C%20CA
BRIGHT FUTURES PRESCHOOL,BRIGHT FUTURES PRESCHOOL LLC,608 KENTUCKY,BAKERSFIELD,93305,KERN,9,CLOSED,9/17/2020,8/31/2022,23.8,(661) 631-5555,10,https://www.google.com/maps/search/608%20KENTUCKY%2C%20BAKERSFIELD%2C%20CA
