facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,license_date,license_year,months_open
FAMILY DAY CARE HOME,343624184,"SHAMAL, MURSAL","SHAMAL, MURSAL","SHAMAL, MURSAL",(916) 664-8834,Unavailable,SACRAMENTO,CA,95823,SACRAMENTO,3,14,CLOSED,5/26/2022,2022-06-01,5252025,2022-05-26,2022.0,0.2
FAMILY DAY CARE HOME,304314489,"SHIM, JUYEON","SHIM, JUYEON","SHIM, JUYEON",(949) 761-0063,Unavailable,IRVINE,CA,92602,ORANGE,6,14,CLOSED,1/15/2025,2025-01-29,5252025,2025-01-15,2025.0,0.5
FAMILY DAY CARE HOME,344501214,"ESMAIL, HALLA",HALLA ESMAIL,"ESMAIL, HALLA",(408) 606-1742,Unavailable,ELK GROVE,CA,95758,SACRAMENTO,53,14,CLOSED,9/18/2024,2024-10-10,5252025,2024-09-18,2024.0,0.7
SCHOOL AGE DAY CARE CENTER,73409579,PANTHER HOUSE,"DAMHESEL, NICOLE, AGUIAR, HEATHER & LYNN, ASHLEY",NICOLE DAMHESEL,(925) 297-9750,3445 HAMLIN RD,LAFAYETTE,CA,94549,CONTRA COSTA,2,56,CLOSED,8/22/2023,2023-10-05,5252025,2023-08-22,2023.0,1.5
DAY CARE CENTER,444417082,DISCOVERY PRESCHOOL AND FAMILY CENTER,DISCOVERY PRESCHOOL AND FAMILY CENTER,SARA BALLA,(831) 588-4225,440 FREDRICK STREET,SANTA CRUZ,CA,95060,SANTA CRUZ,7,40,CLOSED,1/20/2023,2023-03-05,5252025,2023-01-20,2023.0,1.5
SINGLE LICENSED CHILD CARE CENTER,75700616,GUIDEPOST MONTESSORI AT CROW CANYON,GUIDEPOST A LLC,KAYLA HACKETT,(925) 905-1616,2671 CROW CANYON RD,SAN RAMON,CA,94583,CONTRA COSTA,52,150,CLOSED,11/4/2024,2024-12-20,5252025,2024-11-04,2024.0,1.5
FAMILY DAY CARE HOME,304313793,"RODRIGUEZ, AURI","RODRIGUEZ, AURI","RODRIGUEZ, AURI",(949) 337-8176,Unavailable,IRVINE,CA,92620,ORANGE,6,14,CLOSED,7/24/2020,2020-09-17,5252025,2020-07-24,2020.0,1.8
FAMILY DAY CARE HOME,304314435,"AGUIRRE, TRISHA","AGUIRRE, TRISHA","AGUIRRE, TRISHA",(949) 632-2400,Unavailable,LAKE FOREST,CA,92630,ORANGE,6,14,CLOSED,10/9/2024,2024-12-04,5252025,2024-10-09,2024.0,1.9
SINGLE LICENSED CHILD CARE CENTER,73409606,"LEARN AND PLAY MORAGA, INC","LEARN AND PLAY MORAGA, INC.",EVELYN RODRIGUEZ,(925) 376-8280,1695 CANYON ROAD,MORAGA,CA,94556,CONTRA COSTA,2,135,CLOSED,10/30/2024,2025-01-02,5252025,2024-10-30,2024.0,2.1
SINGLE LICENSED CHILD CARE CENTER,157750010,IMAGINATION SPRINGS,MICHELLE RINCON STORY,MICHELLE RINCON STORY,(619) 646-0926,27719 STALLION SPRINGS DRIVE,TEHACHAPI,CA,93561,KERN,12,18,CLOSED,3/7/2024,2024-05-09,5252025,2024-03-07,2024.0,2.1
FAMILY DAY CARE HOME,426216659,BUENROSTRO FAMILY CHILD CARE,AMALIA BUENROSTRO,AMALIA BUENROSTRO,(928) 710-0767,Unavailable,SANTA MARIA,CA,93454,SANTA BARBARA,17,14,CLOSED,8/10/2023,2023-10-18,5252025,2023-08-10,2023.0,2.3
