zip,facility_count,total_capacity,county,city
95076,213,3737,SANTA CRUZ,CORRALITOS
92105,159,2859,SAN DIEGO,SAN DIEGO
93454,152,3000,SANTA BARBARA,SANTA MARIA
93458,143,2197,SANTA BARBARA,SANTA MARIA
95035,136,6880,SANTA CLARA,MILPITAS
94087,133,5695,SANTA CLARA,SUNNYVALE
92021,131,2772,SAN DIEGO,EL CAJON
94568,128,5673,ALAMEDA,DUBLIN
90047,127,2646,LOS ANGELES,LOS ANGELES
92020,122,2601,SAN DIEGO,EL CAJON
95014,121,4102,SANTA CLARA,CUPERTINO
91911,120,2430,SAN DIEGO,CHULA VISTA
94501,119,3444,ALAMEDA,ALAMEDA
90805,119,2959,LOS ANGELES,LONG BEACH
94112,116,2739,SAN FRANCISCO,SAN FRANCISCO
94538,115,4520,ALAMEDA,FREMONT
95051,114,3977,SANTA CLARA,SANTA CLARA
92154,111,2097,SAN DIEGO,SAN DIEGO
94533,110,2998,SOLANO,FAIRFIELD
92236,110,1848,RIVERSIDE,COACHELLA
94536,109,5233,ALAMEDA,FREMONT
94403,108,2889,SAN MATEO,SAN MATEO
91910,107,3878,SAN DIEGO,CHULA VISTA
93257,106,2630,TULARE,PORTERVILLE
93230,104,2130,KINGS,HANFORD
95758,104,3524,SACRAMENTO,ELK GROVE
90043,103,2285,LOS ANGELES,LOS ANGELES
93215,102,2160,KERN,DELANO
90250,102,2675,LOS ANGELES,HAWTHORNE
93033,101,2823,VENTURA,OXNARD
93535,100,2381,LOS ANGELES,LANCASTER
95020,100,2446,SANTA CLARA,GILROY
91344,100,2783,LOS ANGELES,GRANADA HILLS
95124,100,4088,SANTA CLARA,SAN JOSE
94565,99,2823,CONTRA COSTA,PITTSBURG
95747,99,3348,PLACER,ROSEVILLE
91335,98,2733,LOS ANGELES,RESEDA
94513,97,3479,CONTRA COSTA,BRENTWOOD
93534,96,3200,LOS ANGELES,LANCASTER
92243,96,3053,IMPERIAL,EL CENTRO
92392,95,2040,SAN BERNARDINO,VICTORVILLE
91977,95,2409,SAN DIEGO,SPRING VALLEY
90650,94,2796,LOS ANGELES,NORWALK
93905,94,2130,MONTEREY,SALINAS
95630,93,3933,SACRAMENTO,FOLSOM
92114,91,1663,SAN DIEGO,SAN DIEGO
95624,91,3037,SACRAMENTO,ELK GROVE
92115,89,2301,SAN DIEGO,SAN DIEGO
95608,89,2895,SACRAMENTO,CARMICHAEL
93436,89,1836,SANTA BARBARA,LOMPOC
93906,88,1816,MONTEREY,SALINAS
95835,88,2699,SACRAMENTO,SACRAMENTO
95691,88,2304,YOLO,WEST SACRAMENTO
94080,87,4191,SAN MATEO,SOUTH SAN FRANCISCO
94539,86,3366,ALAMEDA,FREMONT
90044,85,2232,LOS ANGELES,LOS ANGELES
90220,84,2150,LOS ANGELES,COMPTON
93307,84,2046,KERN,BAKERSFIELD
95023,83,1789,SAN BENITO,HOLLISTER
95823,83,2194,SACRAMENTO,SACRAMENTO
92231,83,1659,IMPERIAL,CALEXICO
94605,82,1582,ALAMEDA,OAKLAND
93291,82,1650,TULARE,VISALIA
92126,82,2789,SAN DIEGO,SAN DIEGO
92019,81,2046,SAN DIEGO,EL CAJON
94401,81,2290,SAN MATEO,SAN MATEO
92630,81,3360,ORANGE,LAKE FOREST
93536,81,2071,LOS ANGELES,LANCASTER
93446,80,1768,SAN LUIS OBISPO,PASO ROBLES
92201,80,1794,RIVERSIDE,INDIO
94303,80,4071,SAN MATEO,EAST PALO ALTO
93455,80,1552,SANTA BARBARA,SANTA MARIA
94583,80,3186,CONTRA COSTA,SAN RAMON
94544,80,2454,ALAMEDA,HAYWARD
92804,79,2228,ORANGE,ANAHEIM
95127,78,1714,SANTA CLARA,SAN JOSE
95843,77,1930,SACRAMENTO,ANTELOPE
93635,77,1635,MERCED,LOS BANOS
93277,77,2199,TULARE,VISALIA
92880,77,1788,RIVERSIDE,CORONA
90746,76,1141,LOS ANGELES,CARSON
93247,76,1374,TULARE,LINDSAY
93727,76,1621,FRESNO,FRESNO
94110,75,2886,SAN FRANCISCO,SAN FRANCISCO
94541,74,1902,ALAMEDA,HAYWARD
93274,74,1645,TULARE,TULARE
92336,74,2142,SAN BERNARDINO,FONTANA
91343,73,2243,LOS ANGELES,NORTH HILLS
92129,73,1924,SAN DIEGO,SAN DIEGO
94086,73,2218,SANTA CLARA,SUNNYVALE
91331,71,2555,LOS ANGELES,ARLETA
94523,71,2979,CONTRA COSTA,PLEASANT HILL
93550,70,2570,LOS ANGELES,PALMDALE
94306,70,3348,SANTA CLARA,PALO ALTO
95376,70,2966,SAN JOAQUIN,TRACY
92064,69,3262,SAN DIEGO,POWAY
91744,69,2605,LOS ANGELES,LA PUENTE
92618,68,3917,ORANGE,IRVINE
94122,68,2919,SAN FRANCISCO,SAN FRANCISCO
95129,68,3284,SANTA CLARA,SAN JOSE
95648,68,2403,PLACER,LINCOLN
91205,67,1648,LOS ANGELES,GLENDALE
95670,67,2522,SACRAMENTO,RANCHO CORDOVA
93638,67,1385,MADERA,MADERA
93003,67,3042,VENTURA,VENTURA
94903,67,2277,MARIN,SAN RAFAEL
95123,67,2276,SANTA CLARA,SAN JOSE
91606,67,1891,LOS ANGELES,NORTH HOLLYWOOD
91401,67,2245,LOS ANGELES,VAN NUYS
94116,67,2565,SAN FRANCISCO,SAN FRANCISCO
94558,66,1815,NAPA,NAPA
94550,66,3584,ALAMEDA,LIVERMORE
94509,66,2131,CONTRA COSTA,ANTIOCH
92024,66,3001,SAN DIEGO,ENCINITAS
90011,65,2500,LOS ANGELES,LOS ANGELES
95687,65,1785,SOLANO,VACAVILLE
95991,65,1653,SUTTER,YUBA CITY
95336,65,1821,SAN JOAQUIN,MANTECA
91913,65,2301,SAN DIEGO,CHULA VISTA
95821,65,1679,SACRAMENTO,SACRAMENTO
92584,65,1406,RIVERSIDE,MENIFEE
90815,65,2378,LOS ANGELES,LONG BEACH
95610,65,2415,SACRAMENTO,CITRUS HEIGHTS
95125,64,3308,SANTA CLARA,SAN JOSE
90066,64,2267,LOS ANGELES,LOS ANGELES
95008,64,3588,SANTA CLARA,CAMPBELL
92027,64,1864,SAN DIEGO,ESCONDIDO
94025,64,2560,SAN MATEO,MENLO PARK
92620,63,2929,ORANGE,IRVINE
93313,63,1221,KERN,BAKERSFIELD
90706,63,1703,LOS ANGELES,BELLFLOWER
94806,63,1627,CONTRA COSTA,SAN PABLO
91342,63,1731,LOS ANGELES,LAKE VIEW TERRACE
92376,63,1827,SAN BERNARDINO,RIALTO
91950,63,1737,SAN DIEGO,NATIONAL CITY
90262,63,1680,LOS ANGELES,LYNWOOD
95355,62,1346,STANISLAUS,MODESTO
94546,62,2206,ALAMEDA,CASTRO VALLEY
90018,62,1636,LOS ANGELES,LOS ANGELES
95037,62,2605,SANTA CLARA,MORGAN HILL
92117,62,1556,SAN DIEGO,SAN DIEGO
90230,61,2015,LOS ANGELES,CULVER CITY
92071,61,1599,SAN DIEGO,SANTEE
95993,61,1310,SUTTER,YUBA CITY
95382,61,1809,STANISLAUS,TURLOCK
91710,61,2960,SAN BERNARDINO,CHINO
93036,61,1468,VENTURA,OXNARD
94901,61,1829,MARIN,SAN RAFAEL
92553,60,1450,RIVERSIDE,MORENO VALLEY
91605,60,1311,LOS ANGELES,NORTH HOLLYWOOD
95928,60,1669,BUTTE,CHICO
93309,60,2086,KERN,BAKERSFIELD
90631,60,2251,ORANGE,LA HABRA
92691,60,2457,ORANGE,MISSION VIEJO
95206,60,1437,SAN JOAQUIN,STOCKTON
95828,60,1587,SACRAMENTO,SACRAMENTO
90022,59,1572,LOS ANGELES,LOS ANGELES
93304,59,1549,KERN,BAKERSFIELD
94587,59,1293,ALAMEDA,UNION CITY
92345,59,1726,SAN BERNARDINO,HESPERIA
95350,58,2049,STANISLAUS,MODESTO
90045,58,2221,LOS ANGELES,LOS ANGELES
93203,58,1032,KERN,ARVIN
90745,58,1392,LOS ANGELES,CARSON
96002,58,1377,SHASTA,REDDING
93311,57,2016,KERN,BAKERSFIELD
90221,57,1624,LOS ANGELES,E. RANCHO DOMINGUEZ
94061,57,2031,SAN MATEO,REDWOOD CITY
91001,57,1512,LOS ANGELES,ALTADENA
95207,57,1411,SAN JOAQUIN,STOCKTON
92882,57,1974,RIVERSIDE,CORONA
90016,57,1590,LOS ANGELES,LOS ANGELES
94555,56,1958,ALAMEDA,FREMONT
92084,56,1856,SAN DIEGO,VISTA
96080,56,1011,TEHAMA,RED BLUFF
94121,56,1830,SAN FRANCISCO,SAN FRANCISCO
93422,56,1617,SAN LUIS OBISPO,ATASCADERO
92886,56,3369,ORANGE,YORBA LINDA
92562,56,2842,RIVERSIDE,MURRIETA
92025,56,2342,SAN DIEGO,ESCONDIDO
91405,56,1225,LOS ANGELES,VAN NUYS
93551,56,1118,LOS ANGELES,PALMDALE
94804,56,1606,CONTRA COSTA,RICHMOND
95118,56,2530,SANTA CLARA,SAN JOSE
92127,55,2214,SAN DIEGO,SAN DIEGO
94534,55,1559,SOLANO,FAIRFIELD
90621,55,2157,ORANGE,BUENA PARK
92780,55,2426,ORANGE,TUSTIN
95132,55,1121,SANTA CLARA,SAN JOSE
93065,55,2023,VENTURA,SIMI VALLEY
90034,55,2242,LOS ANGELES,LOS ANGELES
95762,55,2160,EL DORADO,EL DORADO HILLS
93306,55,1708,KERN,BAKERSFIELD
91406,55,1542,LOS ANGELES,VAN NUYS
92563,55,1386,RIVERSIDE,MURRIETA
95122,55,1687,SANTA CLARA,SAN JOSE
92111,54,2796,SAN DIEGO,SAN DIEGO
94404,54,2191,SAN MATEO,FOSTER CITY
95926,54,1971,BUTTE,CHICO
95628,54,1184,SACRAMENTO,FAIR OAKS
95834,54,1609,SACRAMENTO,SACRAMENTO
93030,54,1571,VENTURA,OXNARD
91801,54,2126,LOS ANGELES,ALHAMBRA
92407,54,1327,SAN BERNARDINO,SAN BERNARDINO
94591,54,1022,SOLANO,VALLEJO
94560,54,1574,ALAMEDA,NEWARK
94402,53,1790,SAN MATEO,SAN MATEO
95765,53,2619,PLACER,ROCKLIN
94619,53,1873,ALAMEDA,OAKLAND
95833,53,1590,SACRAMENTO,SACRAMENTO
91709,53,2658,SAN BERNARDINO,CHINO HILLS
91770,53,2135,LOS ANGELES,ROSEMEAD
91306,53,1892,LOS ANGELES,CANOGA PARK
95757,53,1319,SACRAMENTO,ELK GROVE
95391,53,1375,SAN JOAQUIN,MOUNTAIN HOUSE
94531,53,1222,CONTRA COSTA,ANTIOCH
95661,53,2844,PLACER,ROSEVILLE
90620,53,1426,ORANGE,BUENA PARK
94521,53,1955,CONTRA COSTA,CONCORD
91201,53,1215,LOS ANGELES,GLENDALE
92113,52,1352,SAN DIEGO,SAN DIEGO
95963,52,818,GLENN,ORLAND
94134,52,1764,SAN FRANCISCO,SAN FRANCISCO
90019,52,1497,LOS ANGELES,LOS ANGELES
92604,52,2428,ORANGE,IRVINE
91367,52,2884,LOS ANGELES,WOODLAND HILLS
92503,52,1809,RIVERSIDE,RIVERSIDE
92677,52,2995,ORANGE,LAGUNA NIGUEL
95209,52,1193,SAN JOAQUIN,STOCKTON
95337,52,1459,SAN JOAQUIN,MANTECA
95822,52,1838,SACRAMENTO,SACRAMENTO
93010,51,2223,VENTURA,CAMARILLO
95341,51,1488,MERCED,MERCED
90247,51,1239,LOS ANGELES,GARDENA
91350,51,2241,LOS ANGELES,SANTA CLARITA
94118,51,2129,SAN FRANCISCO,SAN FRANCISCO
91107,51,2216,LOS ANGELES,PASADENA
91767,51,1693,LOS ANGELES,POMONA
