facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,address_normalized,full_address,fraud_score,fraud_flags,licensee_normalized,license_year
child_care_centers,197494947,A - LIST MONTESSORI PRESCHOOL,PACLEB FAMILY CHILD CARE,DIVINA RODRIGUEZ,(424) 500-2288,11601 WASHINGTON PLACE,LOS ANGELES,CA,90066,LOS ANGELES,30,18,LICENSED,2022-01-25,,5252025,11601 WASHINGTON PLACE,"11601 WASHINGTON PLACE, LOS ANGELES",0,,PACLEB FAMILY CHILD CARE,2022.0
child_care_centers,45407858,A BRIGHT STARR PRESCHOOL & DAYCARE,"GENTLES, STARR L","GENTLES, STARR L",(530) 533-7160,1276 FEATHER RIVER BLVD,OROVILLE,CA,95965,BUTTE,13,60,LICENSED,2021-01-08,,5252025,1276 FEATHER RIVER BLVD,"1276 FEATHER RIVER BLVD, OROVILLE",2,DUPLICATE_ADDRESS; ,"GENTLES, STARR L",2021.0
child_care_centers,483010154,A PLACE 2 GROW,A PLACE 2 GROW CARE & EDUCATION SYSTEM INC.,JUNE REGIS,(707) 419-4927,1406 WOOLNER AVE,FAIRFIELD,CA,94533,SOLANO,1,30,LICENSED,2022-02-02,,5252025,1406 WOOLNER AVE,"1406 WOOLNER AVE, FAIRFIELD",0,,A PLACE 2 GROW CARE & EDUCATION SYSTEM INC.,2022.0
child_care_centers,566216018,"ABC LEARNING PRESCHOOL & CHILDCARE, INC.",ANALAURA COYLE,ANALAURA COYLE,(805) 933-3333,2950 EAST TELEGRAPH ROAD,FILLMORE,CA,93015,VENTURA,17,48,LICENSED,2020-10-07,,5252025,2950 EAST TELEGRAPH ROAD,"2950 EAST TELEGRAPH ROAD, FILLMORE",0,,ANALAURA COYLE,2020.0
child_care_centers,197495117,ABC PRE SCHOOL HOUSE,ABC PRE SCHOOL HOUSE INC,NINELIE RATAVOSSIAN,(818) 934-0049,4102-4104 W VICTORY BLVD,BURBANK,CA,91505,LOS ANGELES,58,59,LICENSED,2022-07-27,,5252025,4102-4104 W VICTORY BLVD,"4102-4104 W VICTORY BLVD, BURBANK",0,,ABC PRE SCHOOL HOUSE INC,2022.0
child_care_centers,15700561,ABC PRESCHOOL & DAYCARE,"FOOTSTEPS PRESCHOOL, INC.","MALHOTRA, ANUPAMA",(408) 839-5669,20135 SAN MIGUEL AVENUE,CASTRO VALLEY,CA,94546,ALAMEDA,52,21,LICENSED,2022-06-02,,5252025,20135 SAN MIGUEL AVENUE,"20135 SAN MIGUEL AVENUE, CASTRO VALLEY",2,DUPLICATE_ADDRESS; ,"FOOTSTEPS PRESCHOOL, INC.",2022.0
child_care_centers,485407942,ABOVE & BEYOND PRESCHOOL,PAULA ROWLAND,"ROWLAND, PAULA",(707) 386-3171,126 PEABODY ROAD,VACAVILLE,CA,95687,SOLANO,1,27,LICENSED,2021-08-09,,5252025,126 PEABODY ROAD,"126 PEABODY ROAD, VACAVILLE",2,DUPLICATE_ADDRESS; ,PAULA ROWLAND,2021.0
child_care_centers,304371441,ACACIA MONTESSORI SCHOOL,"CHUNG, SUN PARK","CHUNG, SUN",(714) 526-7855,1701 EAST CHAPMAN AVENUE,FULLERTON,CA,92831,ORANGE,6,54,LICENSED,2021-02-01,,5252025,1701 EAST CHAPMAN AVENUE,"1701 EAST CHAPMAN AVENUE, FULLERTON",2,DUPLICATE_ADDRESS; ,"CHUNG, SUN PARK",2021.0
child_care_centers,198020471,ACACIA MONTESSORI SCHOOL COVINA INC.,ACACIA MONTESSORI SCHOOL COVINA INC.,MILDRED BAUTISTA,(626) 966-9356,450 W ROWLAND ST,COVINA,CA,91723,LOS ANGELES,33,60,LICENSED,2020-10-05,,5252025,450 W ROWLAND ST,"450 W ROWLAND ST, COVINA",0,,ACACIA MONTESSORI SCHOOL COVINA INC.,2020.0
child_care_centers,394500315,ACADEMY OF CHILD DEVELOPMENT & AMORE,ACADEMY OF CHILD DEVELOPMENT & AMORE LLC,AIDA LOMELI,(209) 898-2958,170 EAST FRENCH CAMP ROAD,FRENCH CAMP,CA,95231,SAN JOAQUIN,53,40,LICENSED,2021-05-12,,5252025,170 EAST FRENCH CAMP ROAD,"170 EAST FRENCH CAMP ROAD, FRENCH CAMP",2,DUPLICATE_ADDRESS; ,ACADEMY OF CHILD DEVELOPMENT & AMORE LLC,2021.0
