facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,address_normalized,full_address,fraud_score,fraud_flags,licensee_normalized
child_care_centers,197416698,186TH STREET ELEMENTARY SCHOOL CSPP,LAUSD/EARLY CHILDHOOD EDUCATION,ANTONIO AGUILAR,(310) 324-1153,1581 WEST 186TH STREET ROOM 9,GARDENA,CA,90248,LOS ANGELES,58,23,LICENSED,2/1/2010,,5252025,1581 WEST 186TH STREET ROOM 9,"1581 WEST 186TH STREET ROOM 9, GARDENA",1,HIGH_VOLUME_LICENSEE; ,LAUSD/EARLY CHILDHOOD EDUCATION
child_care_centers,197419152,24TH STREET EARLY ED. CENTER,LAUSD EARLY CHILDHOOD EDUCATION,PATRICIA OJEDA,(323) 733-2164,2101 WEST 24TH STREET,LOS ANGELES,CA,90018,LOS ANGELES,54,92,LICENSED,12/9/2013,,5252025,2101 WEST 24TH STREET,"2101 WEST 24TH STREET, LOS ANGELES",1,HIGH_VOLUME_LICENSEE; ,LAUSD EARLY CHILDHOOD EDUCATION
child_care_centers,414004456,2ND GENERATION CABOT (PS),BRIGHT HORIZONS CHILDREN'S CENTERS LLC,HOLLY ANDERSON,(650) 225-3666,342 ALLERTON AVE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,5,264,LICENSED,4/25/2018,,5252025,342 ALLERTON AVE,"342 ALLERTON AVE, SOUTH SAN FRANCISCO",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,BRIGHT HORIZONS CHILDREN'S CENTERS LLC
child_care_centers,191222366,31ST DIST PTSA CREATIVE KIDS- CHATSWORK PARK ELEM,31ST DIST CA CONGRESS OF PARENTS & TEACHERS,LARA NALBANDIAN,(818) 481-4583,22005 DEVONSHIRE ST.,CHATSWORTH,CA,91311,LOS ANGELES,58,72,LICENSED,4/3/1989,,5252025,22005 DEVONSHIRE ST,"22005 DEVONSHIRE ST, CHATSWORTH",1,HIGH_VOLUME_LICENSEE; ,31ST DIST CA CONGRESS OF PARENTS & TEACHERS
child_care_centers,191222368,31ST DIST PTSA CREATIVE KIDS-SUPERIOR STREET,31ST DIST CA CONGRESS OF PARENTS & TEACHERS,JENNY MEDINA,(818) 220-8182,9756 OSO AVE.,CHATSWORTH,CA,91311,LOS ANGELES,58,36,LICENSED,5/25/1989,,5252025,9756 OSO AVE,"9756 OSO AVE, CHATSWORTH",1,HIGH_VOLUME_LICENSEE; ,31ST DIST CA CONGRESS OF PARENTS & TEACHERS
child_care_centers,493009805,4C'S APPLES AND BANANAS CDC,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,CLAUDIA AVALOS,(707) 541-1901,950 SEBASTOPOL ROAD,SANTA ROSA,CA,95407,SONOMA,1,30,CLOSED,10/1/2019,8/4/2021,5252025,950 SEBASTOPOL ROAD,"950 SEBASTOPOL ROAD, SANTA ROSA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,493009433,4CS APPLES AND BANANAS PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"SAENZ, NEIRA",(707) 544-4074,953 SUNSET AVENUE,SANTA ROSA,CA,95407,SONOMA,1,69,LICENSED,1/5/2018,,5252025,953 SUNSET AVENUE,"953 SUNSET AVENUE, SANTA ROSA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,493009431,4CS BENNETT VALLEY,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"CHAVEZ, ALMA",(707) 978-5912,4580 BENNETT VIEW DRIVE,SANTA ROSA,CA,95404,SONOMA,1,45,LICENSED,1/22/2018,,5252025,4580 BENNETT VIEW DRIVE,"4580 BENNETT VIEW DRIVE, SANTA ROSA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,493008692,4CS FLOWERY PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"SANFILIPPO, AMBER",(707) 935-4244,17600 SONOMA HWY.,SONOMA,CA,95476,SONOMA,1,24,LICENSED,10/21/2013,,5252025,17600 SONOMA HWY,"17600 SONOMA HWY, SONOMA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,493010061,4CS MARK WEST PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,ROSE ANDRADE,(707) 522-1413,4600 LAVELL ROAD,SANTA ROSA,CA,95403,SONOMA,1,24,CLOSED,6/14/2021,6/21/2024,5252025,4600 LAVELL ROAD,"4600 LAVELL ROAD, SANTA ROSA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,493010019,4CS MEADOW PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,IMAN SENAN,(707) 544-3077,880 MARIA DRIVE,PETALUMA,CA,94954,SONOMA,1,43,CLOSED,2/5/2021,8/12/2022,5252025,880 MARIA DRIVE,"880 MARIA DRIVE, PETALUMA",3,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,493004931,4CS OLD ELM CHILD DEVELOPMENT CENTER,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,FANNY SALAS,(707) 782-0408,"305 W. PAYRAN STREET, STE #C",PETALUMA,CA,94952,SONOMA,1,42,LICENSED,4/14/2003,,5252025,305 W PAYRAN STREET STE #C,"305 W PAYRAN STREET STE #C, PETALUMA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,493005826,4CS PAULIN CREEK CDC - PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"ALI ALHAJ, NADIA",(707) 565-3420,2614 PAULIN DRIVE,SANTA ROSA,CA,95403,SONOMA,1,45,CLOSED,4/18/2005,7/12/2024,5252025,2614 PAULIN DRIVE,"2614 PAULIN DRIVE, SANTA ROSA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,490109272,4CS PETALUMA CHILD DEVELOPMENT CENTER,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"ANDRADE, ROSE",(707) 544-3077,401 S MC DOWELL,PETALUMA,CA,94952,SONOMA,1,52,LICENSED,7/5/1989,,5252025,401 S MC DOWELL,"401 S MC DOWELL, PETALUMA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,490109271,4CS SONOMA CHILD DEVELOPEMENT CENTER,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,MARIA BURTON,(707) 996-3494,620 5TH STREET,SONOMA,CA,95476,SONOMA,1,48,LICENSED,7/7/1989,,5252025,620 5TH STREET,"620 5TH STREET, SONOMA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,493006901,4CS WILLOW CREEK STATE PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"SCHAEFER, PAULA",(707) 570-2607,2536 MARLOW ROAD,SANTA ROSA,CA,95403,SONOMA,1,32,LICENSED,8/24/2007,,5252025,2536 MARLOW ROAD,"2536 MARLOW ROAD, SANTA ROSA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,493006190,4CS WINDSOR STATE PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,MICHELLE MARTIN,(707) 836-7068,79 PLEASANT AVENUE,SANTA ROSA,CA,95403,SONOMA,1,40,LICENSED,4/7/2006,,5252025,79 PLEASANT AVENUE,"79 PLEASANT AVENUE, SANTA ROSA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,493009430,4CS WRIGHT START PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,IMAN SENAN,(707) 291-0154,950 SOUTH WRIGHT ROAD,SANTA ROSA,CA,95407,SONOMA,1,48,INACTIVE,8/15/2017,,5252025,950 SOUTH WRIGHT ROAD,"950 SOUTH WRIGHT ROAD, SANTA ROSA",1,HIGH_VOLUME_LICENSEE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY
child_care_centers,198017132,4TH STREET EARLY EDUCATION CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT,IRENE SANTILLAN,(323) 266-4024,421 S. HILLVIEW AVENUE,LOS ANGELES,CA,90022,LOS ANGELES,33,144,LICENSED,6/27/2013,,5252025,421 S HILLVIEW AVENUE,"421 S HILLVIEW AVENUE, LOS ANGELES",1,HIGH_VOLUME_LICENSEE; ,LOS ANGELES UNIFIED SCHOOL DISTRICT
child_care_centers,198001351,92ND & MAIE CHILD DEVELOPMENT CENTER,DREW CHILD DEVELOPMENT CORPORATION,ALICIA GARCIA,(323) 249-0621,9200 MAIE AVE.,LOS ANGELES,CA,90002,LOS ANGELES,54,54,LICENSED,1/11/1996,,5252025,9200 MAIE AVE,"9200 MAIE AVE, LOS ANGELES",1,HIGH_VOLUME_LICENSEE; ,DREW CHILD DEVELOPMENT CORPORATION
child_care_centers,103801760,A BETTER CHOICE PRESCHOOL,A BETTER CHOICE PRESCHOOL,"DIXON, LEOME",(559) 227-5437,3225 E. GETTYSBURG AVENUE,FRESNO,CA,93726,FRESNO,4,48,LICENSED,4/12/2002,,5252025,3225 E GETTYSBURG AVENUE,"3225 E GETTYSBURG AVENUE, FRESNO",2,DUPLICATE_ADDRESS; ,A BETTER CHOICE PRESCHOOL
child_care_centers,410503412,"A CHILD'S WAY, AN EARLY LEARNING CENTER","A CHILD'S WAY, AN EARLY LEARNING CENTER",LISA VELLA,(650) 342-3460,801 HOWARD AVENUE,BURLINGAME,CA,94010,SAN MATEO,5,37,CLOSED,9/5/1992,6/30/2020,5252025,801 HOWARD AVENUE,"801 HOWARD AVENUE, BURLINGAME",2,DUPLICATE_ADDRESS; ,"A CHILD'S WAY, AN EARLY LEARNING CENTER"
child_care_centers,376700273,A CHILDREN'S GARDEN - ENCINITAS,"A CHILDREN'S GARDEN, LLC","HORTON, CATHY",(760) 942-2327,2241 WHISPER WIND LANE,ENCINITAS,CA,92024,SAN DIEGO,51,42,LICENSED,8/1/2006,,5252025,2241 WHISPER WIND LANE,"2241 WHISPER WIND LANE, ENCINITAS",0,,"A CHILDREN'S GARDEN, LLC"
child_care_centers,376700272,A CHILDREN'S GARDEN - LEUCADIA,"A CHILDREN'S GARDEN, LLC",HEATHER ADDY CRIDER,(760) 436-5370,1421 BURGUNDY ROAD,ENCINITAS,CA,92024,SAN DIEGO,51,44,LICENSED,8/1/2006,,5252025,1421 BURGUNDY ROAD,"1421 BURGUNDY ROAD, ENCINITAS",0,,"A CHILDREN'S GARDEN, LLC"
child_care_centers,376700270,A CHILDREN'S GARDEN - VISTA,"A CHILDREN'S GARDEN, LLC",MICHELLE MCKIM,(760) 758-4960,152 GRAPEVINE ROAD,VISTA,CA,92083,SAN DIEGO,10,42,INACTIVE,8/1/2006,,5252025,152 GRAPEVINE ROAD,"152 GRAPEVINE ROAD, VISTA",0,,"A CHILDREN'S GARDEN, LLC"
child_care_centers,13417683,A JOYFUL NOISE LEARNING CENTER,COMMUNITY CHURCH OF HAYWARD,"LOPEZ, ELIZABETH",(510) 782-8593,26555 GADING ROAD,HAYWARD,CA,94544,ALAMEDA,52,50,LICENSED,9/1/2004,,5252025,26555 GADING ROAD,"26555 GADING ROAD, HAYWARD",2,DUPLICATE_ADDRESS; ,COMMUNITY CHURCH OF HAYWARD
