facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date,address_normalized,full_address,fraud_score,fraud_flags,licensee_normalized,license_year,closed_year,months_operated
child_care_centers,493010019,4CS MEADOW PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,IMAN SENAN,(707) 544-3077,880 MARIA DRIVE,PETALUMA,CA,94954,SONOMA,1,43,CLOSED,2021-02-05,2022-08-12,5252025,880 MARIA DRIVE,"880 MARIA DRIVE, PETALUMA",4,DUPLICATE_ADDRESS; HIGH_VOLUME_LICENSEE; COVID_ERA_LICENSE; ,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,2021.0,2022.0,18.4
child_care_centers,197494715,ABC SCHOOL HOUSE,SHIRO PERERA TORQUATO & ABC SCHOOL HOUSE LLC,"BERNET-LEGUM, SUZANNE",(818) 842-8466,4102 W. VICTORY BLVD,BURBANK,CA,91505,LOS ANGELES,58,58,CLOSED,2020-12-31,2022-07-26,5252025,4102 W VICTORY BLVD,"4102 W VICTORY BLVD, BURBANK",1,COVID_ERA_LICENSE; ,SHIRO PERERA TORQUATO & ABC SCHOOL HOUSE LLC,2020.0,2022.0,19.1
child_care_centers,574500292,ADVENTURE TIME PRESCHOOL,ADVENTURE TIME PRESCHOOL LLC,PRITI PRIYA LAL,(916) 571-4628,1500 PARK BLVD,WEST SACRAMENTO,CA,95691,YOLO,53,20,CLOSED,2020-11-05,2021-04-14,5252025,1500 PARK BLVD,"1500 PARK BLVD, WEST SACRAMENTO",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,ADVENTURE TIME PRESCHOOL LLC,2020.0,2021.0,5.3
child_care_centers,434417085,AGAPE PLAYSKOOL,"AGAPE LEARNING CENTER, LLC",ADLIN SOFIA NETTO,(669) 295-8697,"3700 THOMAS ROAD, SUITE 107",SANTA CLARA,CA,95054,SANTA CLARA,7,24,CLOSED,2023-06-05,2024-09-30,5252025,3700 THOMAS ROAD SUITE 107,"3700 THOMAS ROAD SUITE 107, SANTA CLARA",0,,"AGAPE LEARNING CENTER, LLC",2023.0,2024.0,16.1
child_care_centers,434417020,AGAPE PLAYSKOOL,"AGAPE LEARNING CENTER, LLC",ADLIN SOFIA NETTO,(669) 295-8697,181 EAST TASMAN DRIVE #70,SAN JOSE,CA,95134,SANTA CLARA,7,45,CLOSED,2022-04-18,2023-05-13,5252025,181 EAST TASMAN DRIVE #70,"181 EAST TASMAN DRIVE #70, SAN JOSE",1,COVID_ERA_LICENSE; ,"AGAPE LEARNING CENTER, LLC",2022.0,2023.0,13.0
child_care_centers,414004885,ALL ARE FRIENDS MONTESSORI,AAF MONTESSORI LLC,"BANERJEE, DEBANJALI",(650) 286-0400,1130 BALCLUTHA DRIVE,FOSTER CITY,CA,94404,SAN MATEO,5,45,CLOSED,2022-05-31,2023-10-04,5252025,1130 BALCLUTHA DRIVE,"1130 BALCLUTHA DRIVE, FOSTER CITY",3,DUPLICATE_ADDRESS; COVID_ERA_LICENSE; ,AAF MONTESSORI LLC,2022.0,2023.0,16.4
child_care_centers,376701559,ALL SAINTS EPISCOPAL PRESCHOOL,"RECTOR, WARDNES AND VESTRYMEN OF ALL SAINTS', THE",RENIKA BATTLES,(619) 298-0313,3660 7TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,20,37,CLOSED,2023-11-14,2024-12-31,5252025,3660 7TH AVE,"3660 7TH AVE, SAN DIEGO",0,,"RECTOR, WARDNES AND VESTRYMEN OF ALL SAINTS', THE",2023.0,2024.0,13.8
child_care_centers,376105106,AU CLAIR DE LUNE,AU CLAIR DE LUNE INC,JESSICA BEDIN,(858) 384-6648,1945 COOLIDGE ST,SAN DIEGO,CA,92111,SAN DIEGO,51,45,CLOSED,2022-09-02,2024-08-20,5252025,1945 COOLIDGE ST,"1945 COOLIDGE ST, SAN DIEGO",1,COVID_ERA_LICENSE; ,AU CLAIR DE LUNE INC,2022.0,2024.0,23.9
child_care_centers,198400357,B L HARVEY SCHOOL,B L HARVEY SCHOOL,"PETTIS, MARGARET",(310) 930-5208,3581 E. IMPERIAL HWY,LYNWOOD,CA,90262,LOS ANGELES,54,30,CLOSED,2021-05-26,2023-05-09,5252025,3581 E IMPERIAL HWY,"3581 E IMPERIAL HWY, LYNWOOD",1,COVID_ERA_LICENSE; ,B L HARVEY SCHOOL,2021.0,2023.0,23.8
child_care_centers,376105124,BALDWIN ACADEMY,"BALDWIN ACADEMY CHILD DEV CENTER, INC.",YULIA ZAETS,(858) 270-5995,1752 & 1762 HORNBLEND STREET,SAN DIEGO,CA,92109,SAN DIEGO,51,77,CLOSED,2023-03-27,2023-09-06,5252025,1752 & 1762 HORNBLEND STREET,"1752 & 1762 HORNBLEND STREET, SAN DIEGO",0,,"BALDWIN ACADEMY CHILD DEV CENTER, INC.",2023.0,2023.0,5.4
