facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
child_care_centers,343614377,AL-ARQAM ISLAMIC SCHOOL,AL-ARQAM ISLAMIC SCHOOL,LENA MANSY,(916) 391-3333,6990 65TH STREET,SACRAMENTO,CA,95823,SACRAMENTO,3,12,LICENSED,9/28/2007,,5252025
child_care_centers,93623346,ALL STAR GYMNASTICS,ALL STAR GYMNASTICS,"BEBOUT, DOMINIQUE(NIKI)",(530) 622-7684,6160 ENTERPRISE DR SUITE A,DIAMOND SPRINGS,CA,95619,EL DORADO,3,12,LICENSED,4/9/2020,,5252025
child_care_centers,293611710,ANANDA LIVING WISDOM SCHOOL PRE-SCHOOL,LIVING WISDOM SCHOOL OF NEVADA CITY,"HORSFALL, JOY",(530) 478-7640,14618 TYLER FOOTE ROAD,NEVADA CITY,CA,95959,NEVADA,3,12,LICENSED,8/14/2006,,5252025
child_care_centers,73409577,APPLETREE CHRISTIAN PRESCHOOL AT VINEYARD ACADEMY,VINEYARD ACADEMY INC,APRIL BOWLES-CUDDIHY,(925) 518-7274,1770 ADAMS LANE,BRENTWOOD,CA,94513,CONTRA COSTA,2,10,LICENSED,9/7/2023,,5252025
child_care_centers,553621205,ATCAA - JAMESTOWN EARLY HEAD START,AMADOR TUOLUMNE COMMUNITY ACTION AGENCY,FAVIOLA GARCIA,(209) 984-1715,10550 SEVENTH STREET,JAMESTOWN,CA,95327,TUOLUMNE,53,12,LICENSED,7/18/2016,,5252025
child_care_centers,13421993,"BABY ACADEMY, THE",LAKESHA D. AARIF,PORSHIA LEWIS,(510) 305-4877,1015 CAMPBELL ST,OAKLAND,CA,94607,ALAMEDA,2,13,LICENSED,12/31/2014,,5252025
child_care_centers,376701127,BABY ANGELS CENTER #2,SELF DISCOVERY INC,MAYRA CASAS,(619) 934-0904,618 FOURTH AVENUE,CHULA VISTA,CA,91910,SAN DIEGO,20,12,LICENSED,12/19/2014,,5252025
child_care_centers,103801892,BALDWIN DAYCARE,"BALDWIN, BRENDA","WARD, VERONICA",(559) 225-6580,3839 N. HUGHES,FRESNO,CA,93705,FRESNO,4,12,LICENSED,8/19/2002,,5252025
child_care_centers,93617568,BEELOVED FARM PLAYSCHOOL CHILDREN'S CENTER,"BEELOVED GARDENS OF SHINGLE SPRINGS, LLC","HODGKIN, KELLY",(530) 676-5683,2947 PONDEROSA ROAD,SHINGLE SPRINGS,CA,95682,EL DORADO,3,12,LICENSED,9/2/2013,,5252025
child_care_centers,376700880,"BISHOP'S SCHOOL CHILDCARE CENTER, THE","BISHOP'S SCHOOL, THE",SAMANTHA FERGUSON,(858) 875-0705,7527 CUVIER STREET,LA JOLLA,CA,92037,SAN DIEGO,51,8,LICENSED,2/6/2012,,5252025
