LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
4355217202,04/27/2020,912,PPP,CATALYST FAMILY INC,350 WOODVIEW AVE STE 100,MORGAN HILL,CA,95037-8105,07/10/2021,Paid in Full,24,100,10000000.0,10000000.0,0.0,,109526,KeyPoint CU,"2150 Trade Zone Blvd, Ste 200",SAN JOSE,CA,95131,U,N,N,Existing or more than 2 years old,MORGAN HILL,SANTA CLARA,CA,95037-8105,CA-18,500.0,624410.0,Unanswered,Unknown/NotStated,,10000000.0,,,,,,Non-Profit Organization,109526,KeyPoint CU,SAN JOSE,CA,Unanswered,Unanswered,Y,10111944.44,06/15/2021
7111487700,05/01/2020,914,PPP,"LITTLE TIKES COMPANY INC, THE",16380 ROSCOE BLVD STE 110,VAN NUYS,CA,91406-1221,07/17/2021,Paid in Full,24,100,4621855.0,4621855.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,Y,New Business or 2 years or less,VAN NUYS,LOS ANGELES,CA,91406-1221,CA-29,409.0,624410.0,Unanswered,Unknown/NotStated,,4621855.0,,,,,,Corporation,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,4672632.09,06/09/2021
8671007002,04/08/2020,914,PPP,MARYVALE,7600 E GRAVES AVE,ROSEMEAD,CA,91770-3414,,Exemption 4,60,100,2896460.0,2896460.0,0.0,,4924,City National Bank,555 S Flower St,LOS ANGELES,CA,90071-2300,U,N,N,Existing or more than 2 years old,ROSEMEAD,LOS ANGELES,CA,91770-3414,CA-28,244.0,624410.0,Unanswered,Unknown/NotStated,66182.0,2704989.0,,,,125289.0,,Non-Profit Organization,4924,City National Bank,LOS ANGELES,CA,Unanswered,Unanswered,Y,2173713.13,09/24/2021
1052367102,04/09/2020,914,PPP,LOS ANGELES UNIVERSAL PRESCHOOL,515 S. FIGUEROA ST Suite 900,LOS ANGELES,CA,90071-1611,07/22/2021,Paid in Full,24,100,2805135.0,2805135.0,0.0,,112407,Enterprise Bank & Trust,150 N Meramec Ave,CLAYTON,MO,63105-3779,U,Y,N,Existing or more than 2 years old,LOS ANGELES,LOS ANGELES,CA,90071-1611,CA-34,195.0,624410.0,Unanswered,Unknown/NotStated,,2805135.0,,,,,,Non-Profit Childcare Center,435110,Enterprise Bank & Trust,CERRITOS,CA,Male Owned,Non-Veteran,Y,2837336.41,06/16/2021
8353847709,05/01/2020,954,PPP,"VOLUNTEERS OF AMERICA, SOUTHWEST CALIFORNIA, INCORPORATION",3530 Camino Del Rio North #300,San Diego,CA,92108,07/09/2022,Paid in Full,24,100,2593700.0,2593700.0,0.0,,72601,"Zions Bank, A Division of",1 S Main St,SALT LAKE CITY,UT,84133-1109,U,N,N,Existing or more than 2 years old,San Diego,SAN DIEGO,CA,92108-0002,CA-51,201.0,624410.0,Unanswered,Unknown/NotStated,,2593700.0,,,,,,Non-Profit Organization,72601,"Zions Bank, A Division of",SALT LAKE CITY,UT,Unanswered,Unanswered,Y,2649269.13,06/27/2022
3906897101,04/12/2020,920,PPP,"GUIDEPOST A, LLC",10 ORCHARD Suite 200,LAKE FOREST,CA,92630-8306,07/22/2021,Paid in Full,24,100,2459800.0,2459800.0,0.0,,4924,City National Bank,555 S Flower St,LOS ANGELES,CA,90071-2300,U,N,N,Existing or more than 2 years old,LAKE FOREST,ORANGE,CA,92630-8306,CA-40,285.0,624410.0,Unanswered,Unknown/NotStated,1844835.0,,614965.0,,,,,Limited  Liability Company(LLC),4924,City National Bank,LOS ANGELES,CA,Unanswered,Unanswered,,2487498.02,06/11/2021
1493727403,05/04/2020,912,PPP,"KAI MING, INC.",900 Kearny St Ste 600,San Francisco,CA,94133-5126,01/28/2023,Paid in Full,24,100,2052500.0,2052500.0,0.0,,484528,"CRF Small Business Loan Company, LLC",801 Nicollet Mall Suite 1700 West,MINNEAPOLIS,MN,55402,U,Y,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94133-5126,CA-11,115.0,624410.0,Unanswered,Unknown/NotStated,,2052500.0,,,,,,Non-Profit Organization,484528,"CRF Small Business Loan Company, LLC",MINNEAPOLIS,MN,Unanswered,Unanswered,Y,1649358.0,02/07/2022
2933108302,01/21/2021,914,PPS,LOS ANGELES UNIVERSAL PRESCHOOL,515 S Figueroa St Ste 900,Los Angeles,CA,90071-3309,05/14/2022,Paid in Full,60,100,2000000.0,2000000.0,0.0,,112407,Enterprise Bank & Trust,150 N Meramec Ave,CLAYTON,MO,63105-3779,U,Y,N,Existing or more than 2 years old,Los Angeles,LOS ANGELES,CA,90071-3309,CA-34,175.0,624410.0,Unanswered,Unknown/NotStated,1.0,1999998.0,,,,,,Non-Profit Childcare Center,435110,Enterprise Bank & Trust,CERRITOS,CA,Male Owned,Non-Veteran,Y,2023777.78,04/05/2022
4725758303,01/23/2021,912,PPS,ACTION DAY NURSERIES AND PRIMARY PLUS INC,3030 Moorpark Ave,San Jose,CA,95128-2518,11/06/2021,Paid in Full,60,100,2000000.0,2000000.0,0.0,,33850,Comerica Bank,1717 Main St,DALLAS,TX,75201-4612,U,N,N,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95128-2518,CA-16,298.0,624410.0,Unanswered,Unknown/NotStated,,2000000.0,,,,,,Corporation,33850,Comerica Bank,DALLAS,TX,Unanswered,Unanswered,,2015111.11,10/26/2021
8052638403,02/12/2021,914,PPS,PRESTIGE PRESCHOOLS OPERATIONS LLC,3795 La Crescenta Ave Ste 200,Glendale,CA,91208-1072,10/15/2021,Paid in Full,60,100,2000000.0,2000000.0,0.0,,4924,City National Bank,555 S Flower St,LOS ANGELES,CA,90071-2300,U,N,N,Existing or more than 2 years old,Glendale,LOS ANGELES,CA,91208-1072,CA-30,168.0,624410.0,Unanswered,Unknown/NotStated,,1999999.0,,,,,,Limited  Liability Company(LLC),4924,City National Bank,LOS ANGELES,CA,Unanswered,Unanswered,,2011452.05,09/10/2021
