LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
2113247405,05/05/2020,912.0,PPP,THE NEW SCHOOL OF BERKELEY,1606 Bonita Avenue,Berkeley,CA,94709,02/01/2022,Paid in Full,24,100,149995.0,149995.0,0.0,,21442.0,BMO Bank National Association,320 S Canal St,Chicago,IL,60606,U,Y,Y,New Business or 2 years or less,Berkeley,ALAMEDA,CA,94709-0001,CA-12,20.0,624410.0,Unanswered,Unknown/NotStated,,149995.0,,,,,,Corporation,14315.0,BMO Bank National Association,San Francisco,CA,Unanswered,Unanswered,,151561.61,05/20/2021
2739508300,01/21/2021,912.0,PPS,WAHAHA TUTORING CENTER,220 Blake Ave,Santa Clara,CA,95051-6854,10/16/2021,Paid in Full,60,100,149900.0,149900.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,Santa Clara,SANTA CLARA,CA,95051-6854,CA-17,21.0,624410.0,Unanswered,Unknown/NotStated,1.0,149895.0,,,,,,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,150844.58,09/09/2021
1410927704,05/01/2020,920.0,PPP,"KIDS &AMP; CARE, INC",9560 I AVE,HESPERIA,CA,92345,08/19/2021,Paid in Full,24,100,149775.0,149775.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,Y,Existing or more than 2 years old,HESPERIA,SAN BERNARDINO,CA,92345-0100,CA-23,31.0,624410.0,White,Hispanic or Latino,,149775.0,,,,,,Corporation,194093.0,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Female Owned,Non-Veteran,,151540.43,07/09/2021
9711198303,01/31/2021,920.0,PPS,OC KIDS CHILDCARE INC.,10160 Denni St,Cypress,CA,90630-4268,11/27/2021,Paid in Full,60,100,149712.0,149712.0,0.0,,72251.0,Cache Valley Bank,101 N Main St,LOGAN,UT,84321-4525,U,N,N,Existing or more than 2 years old,Cypress,ORANGE,CA,90630-4268,CA-42,28.0,624410.0,Unanswered,Unknown/NotStated,1.0,149710.0,,,,,,Corporation,72251.0,Cache Valley Bank,LOGAN,UT,Female Owned,Non-Veteran,,150759.98,10/20/2021
1960288300,01/20/2021,920.0,PPS,JOHNSON MONTESSORI SERVICESINC,22900 Los Alisos Blvd,Mission Viejo,CA,92691-2803,08/21/2021,Paid in Full,60,100,149500.0,149500.0,0.0,,14795.0,Banc of California,"11611 San Vicente Blvd, Ste 500",Los Angeles,CA,90049,U,N,N,Existing or more than 2 years old,Mission Viejo,ORANGE,CA,92691-2803,CA-40,17.0,624410.0,White,Not Hispanic or Latino,1.0,149498.0,,,,,,Corporation,123467.0,Banc of California,Costa Mesa,CA,Male Owned,Veteran,,150327.37,08/13/2021
4029137207,04/27/2020,920.0,PPP,BUSY BEE CARE PROVIDERS INC,11037 WARNER AVE Ste 199,FOUNTAIN VALLEY,CA,92708-4007,03/05/2021,Paid in Full,24,100,149200.0,149200.0,0.0,,437143.0,"California International Bank, A National Banking Association","15606 Brookhurst St, Ste C-D",WESTMINSTER,CA,92683-7582,U,N,N,Existing or more than 2 years old,FOUNTAIN VALLEY,ORANGE,CA,92708-4007,CA-45,30.0,624410.0,Unanswered,Unknown/NotStated,,149200.0,,,,,,Corporation,437143.0,"California International Bank, A National Banking Association",WESTMINSTER,CA,Unanswered,Unanswered,,150356.81,07/21/2021
6299117701,05/01/2020,931.0,PPP,TINY SCHOLARS ACADEMY INC,9053 TARMAC WAY,FAIR OAKS,CA,95628-8144,01/21/2021,Paid in Full,24,100,149172.0,149172.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,FAIR OAKS,SACRAMENTO,CA,95628-8144,CA-03,24.0,624410.0,Black or African American,Not Hispanic or Latino,,149172.0,,,,,,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Female Owned,Non-Veteran,,150001.64,11/24/2020
5662198308,01/25/2021,912.0,PPS,BERKELEY CHINESE BILINGUAL SCHOOL,2830 9th St,Berkeley,CA,94710-2709,09/25/2021,Paid in Full,60,100,149140.0,149140.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,N,Existing or more than 2 years old,Berkeley,ALAMEDA,CA,94710-2709,CA-12,14.0,624410.0,Unanswered,Unknown/NotStated,1.0,149133.0,,,,,,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,149973.55,08/18/2021
5197358301,01/25/2021,912.0,PPS,SHALOM CHRISTIAN ACADEMY LLC,1190 Benton St,Santa Clara,CA,95050-4803,09/28/2021,Paid in Full,60,100,149125.0,149125.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,N,Existing or more than 2 years old,Santa Clara,SANTA CLARA,CA,95050-4803,CA-17,15.0,624410.0,Unanswered,Unknown/NotStated,1.0,149122.0,,,,,,Limited  Liability Company(LLC),9551.0,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,149987.07,08/26/2021
8064797101,04/15/2020,912.0,PPP,MT. TAYLOR CHILDREN'S CENTERS,190 ARLEN DR,ROHNERT PARK,CA,94928,04/23/2021,Paid in Full,24,100,149065.0,149065.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,Y,Existing or more than 2 years old,ROHNERT PARK,SONOMA,CA,94928-1300,CA-04,18.0,624410.0,Unanswered,Unknown/NotStated,2000.0,127021.0,0.0,20044.0,0.0,0.0,0.0,Subchapter S Corporation,194093.0,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,,150420.33,03/17/2021
