facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
DAY CARE CENTER,197416900,107TH. STREET ELEMENTARY SCHOOL CSPP/HEAD START,LAUSD EARLY CHILDHOOD EDUCATON,ALETA WILLIAMS,(323) 756-8137,146 EAST 107TH. STREET ROOM K4,LOS ANGELES,CA,90003,LOS ANGELES,54,22,LICENSED,6/11/2010,,05252025
DAY CARE CENTER,191607790,10TH STREET PRESCHOOL,"WASSON, CINDY LEE","WASSON, CINDY",(310) 458-4088,1444 10TH STREET,SANTA MONICA,CA,90401,LOS ANGELES,30,43,CLOSED,7/13/1992,10/22/2024,05252025
DAY CARE CENTER,197416698,186TH STREET ELEMENTARY SCHOOL CSPP,LAUSD/EARLY CHILDHOOD EDUCATION,ANTONIO AGUILAR,(310) 324-1153,1581 WEST 186TH STREET ROOM 9,GARDENA,CA,90248,LOS ANGELES,58,23,LICENSED,2/1/2010,,05252025
DAY CARE CENTER,197493820,1ST CLASS PREPARATORY PRESCHOOL,1ST CLASS PREPARATORY,MARRISCHIA DAVIS,(310) 925-6394,3459 MC MANUS,CULVER CITY,CA,90232,LOS ANGELES,30,30,LICENSED,5/3/2019,,05252025
DAY CARE CENTER,384001195,1ST PLACE 2 START,1ST PLACE 2 START,SANDRA DAVIS,(415) 333-2659,1252 SUNNYDALE AVE,SAN FRANCISCO,CA,94134,SAN FRANCISCO,05,27,LICENSED,9/23/2003,,05252025
DAY CARE CENTER,198016140,1.2.3. CHRISTIAN MISSION,JIN KYUNG LEE,JIN KYUNG LEE,(213) 733-1123,811 S. MANHATTAN PL.,LOS ANGELES,CA,90005,LOS ANGELES,33,45,LICENSED,12/28/2010,,05252025
DAY CARE CENTER,013423725,24 HOUR OAKLAND PARENT TEACHER CHILDREN CENTER,24-HOUR OAKLAND PARENT-TEACHERS CHILDREN'S CENTER,"SANDERS, DELORES",(510) 534-6030,650 ALMA AVENUE,OAKLAND,CA,94610,ALAMEDA,02,30,CLOSED,4/13/2022,6/28/2024,05252025
DAY CARE CENTER,197419152,24TH STREET EARLY ED. CENTER,LAUSD EARLY CHILDHOOD EDUCATION,PATRICIA OJEDA,(323) 733-2164,2101 WEST 24TH STREET,LOS ANGELES,CA,90018,LOS ANGELES,54,92,LICENSED,12/9/2013,,05252025
DAY CARE CENTER,414004456,2ND GENERATION CABOT (PS),BRIGHT HORIZONS CHILDREN'S CENTERS LLC,HOLLY ANDERSON,(650) 225-3666,342 ALLERTON AVE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,05,264,LICENSED,4/25/2018,,05252025
DAY CARE CENTER,191222366,31ST DIST PTSA CREATIVE KIDS- CHATSWORK PARK ELEM,31ST DIST CA CONGRESS OF PARENTS & TEACHERS,LARA NALBANDIAN,(818) 481-4583,22005 DEVONSHIRE ST.,CHATSWORTH,CA,91311,LOS ANGELES,58,72,LICENSED,4/3/1989,,05252025
DAY CARE CENTER,191222368,31ST DIST PTSA CREATIVE KIDS-SUPERIOR STREET,31ST DIST CA CONGRESS OF PARENTS & TEACHERS,JENNY MEDINA,(818) 220-8182,9756 OSO AVE.,CHATSWORTH,CA,91311,LOS ANGELES,58,36,LICENSED,5/25/1989,,05252025
DAY CARE CENTER,434411608,3D PRESCHOOL,"3D PRESCHOOL, INC.",MEENAKSHI GOKHALE,(408) 227-2840,5370 SNELL AVENUE,SAN JOSE,CA,95123,SANTA CLARA,07,102,LICENSED,4/27/2010,,05252025
DAY CARE CENTER,493009805,4C'S APPLES AND BANANAS CDC,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,CLAUDIA AVALOS,(707) 541-1901,950 SEBASTOPOL ROAD,SANTA ROSA,CA,95407,SONOMA,01,30,CLOSED,10/1/2019,8/4/2021,05252025
DAY CARE CENTER,493009433,4CS APPLES AND BANANAS PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"SAENZ, NEIRA",(707) 544-4074,953 SUNSET AVENUE,SANTA ROSA,CA,95407,SONOMA,01,69,LICENSED,1/5/2018,,05252025
DAY CARE CENTER,493009431,4CS BENNETT VALLEY,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"CHAVEZ, ALMA",(707) 978-5912,4580 BENNETT VIEW DRIVE,SANTA ROSA,CA,95404,SONOMA,01,45,LICENSED,1/22/2018,,05252025
DAY CARE CENTER,493009258,4CS CLOVERDALE PRESCHOOL,4CS COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,LAURA GUZMAN,(707) 894-9011,330 N. WASHINGTON STREET,CLOVERDALE,CA,95425,SONOMA,01,30,LICENSED,8/1/2016,,05252025
DAY CARE CENTER,493008692,4CS FLOWERY PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"SANFILIPPO, AMBER",(707) 935-4244,17600 SONOMA HWY.,SONOMA,CA,95476,SONOMA,01,24,LICENSED,10/21/2013,,05252025
DAY CARE CENTER,493008727,4CS GOLD RIDGE PRESCHOOL,"CCCC OF SONOMA COUNTY, 4CS INC.","COPELAND, JENNY",(707) 586-1253,1455 GOLF COURSE DRIVE,ROHNERT PARK,CA,94928,SONOMA,01,71,LICENSED,1/8/2014,,05252025
DAY CARE CENTER,493010061,4CS MARK WEST PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,ROSE ANDRADE,(707) 522-1413,4600 LAVELL ROAD,SANTA ROSA,CA,95403,SONOMA,01,24,CLOSED,6/14/2021,6/21/2024,05252025
DAY CARE CENTER,493010019,4CS MEADOW PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,IMAN SENAN,(707) 544-3077,880 MARIA DRIVE,PETALUMA,CA,94954,SONOMA,01,43,CLOSED,2/5/2021,8/12/2022,05252025
DAY CARE CENTER,493004931,4CS OLD ELM CHILD DEVELOPMENT CENTER,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,FANNY SALAS,(707) 782-0408,"305 W. PAYRAN STREET, STE #C",PETALUMA,CA,94952,SONOMA,01,42,LICENSED,4/14/2003,,05252025
DAY CARE CENTER,493005826,4CS PAULIN CREEK CDC - PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"ALI ALHAJ, NADIA",(707) 565-3420,2614 PAULIN DRIVE,SANTA ROSA,CA,95403,SONOMA,01,45,CLOSED,4/18/2005,7/12/2024,05252025
DAY CARE CENTER,490109272,4CS PETALUMA CHILD DEVELOPMENT CENTER,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"ANDRADE, ROSE",(707) 544-3077,401 S MC DOWELL,PETALUMA,CA,94952,SONOMA,01,52,LICENSED,7/5/1989,,05252025
DAY CARE CENTER,490109271,4CS SONOMA CHILD DEVELOPEMENT CENTER,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,MARIA BURTON,(707) 996-3494,620 5TH STREET,SONOMA,CA,95476,SONOMA,01,48,LICENSED,7/7/1989,,05252025
DAY CARE CENTER,493006901,4CS WILLOW CREEK STATE PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,"SCHAEFER, PAULA",(707) 570-2607,2536 MARLOW ROAD,SANTA ROSA,CA,95403,SONOMA,01,32,LICENSED,8/24/2007,,05252025
DAY CARE CENTER,493006190,4CS WINDSOR STATE PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,MICHELLE MARTIN,(707) 836-7068,79 PLEASANT AVENUE,SANTA ROSA,CA,95403,SONOMA,01,40,LICENSED,4/7/2006,,05252025
DAY CARE CENTER,493009430,4CS WRIGHT START PRESCHOOL,COMMUNITY CHILD CARE COUNCIL OF SONOMA COUNTY,IMAN SENAN,(707) 291-0154,950 SOUTH WRIGHT ROAD,SANTA ROSA,CA,95407,SONOMA,01,48,INACTIVE,8/15/2017,,05252025
DAY CARE CENTER,198017132,4TH STREET EARLY EDUCATION CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT,IRENE SANTILLAN,(323) 266-4024,421 S. HILLVIEW AVENUE,LOS ANGELES,CA,90022,LOS ANGELES,33,144,LICENSED,6/27/2013,,05252025
DAY CARE CENTER,198400943,5 STAR CHILD CARE,"FUENTES, SANDRO","FUENTES, SANDRO",(562) 234-2653,16633 LAKEWOOD BLVD,BELLFLOWER,CA,90706,LOS ANGELES,54,20,CLOSED,,2/15/2024,05252025
DAY CARE CENTER,434417302,7 MAGIC FLOWERS BILINGUAL MONTESSORI PRESCHOOL,"MAGIC FLOWERS, LLC",CHINLAN WANG,(408) 493-3574,1321 MILLER AVENUE,SAN JOSE,CA,95129,SANTA CLARA,07,77,LICENSED,3/10/2023,,05252025
DAY CARE CENTER,434415153,7 MAGIC FLOWERS BILINGUAL MONTESSORI PRESCHOOL,7 MAGIC FLOWERS,LI-FAN MOCK,(408) 493-3574,1975 CAMBRIANNA DRIVE,SAN JOSE,CA,95124,SANTA CLARA,07,117,CLOSED,6/8/2017,6/20/2024,05252025
