facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
child_care_centers,198015430,ABUNDANCE OF LIFE DAY CARE CENTER,ABUNDANCE OF LIFE TEMPLE OF CHRIST INC.,BISHOP SHERIA A. ARCEO,(562) 422-6195,6100 LONG BEACH BLVD.,LONG BEACH,CA,90805,LOS ANGELES,54,12,CLOSED,7/26/2010,8/31/2021,5252025
child_care_centers,203801063,ALPHA MIGRANT HEAD START,COMMUNITY ACTION PARTNERSHIP OF MADERA COUNTY,OLGA SILVA,(559) 507-8030,900 STADIUM ROAD,MADERA,CA,93637,MADERA,4,12,INACTIVE,9/6/1994,,5252025
child_care_centers,191871511,ANDI'S PRE-SCHOOL CENTER,"REICHWALD, ANDREA","REICHWALD, ANDREA",(323) 931-2182,1100 SOUTH GENESEE AVENUE,LOS ANGELES,CA,90019,LOS ANGELES,58,11,CLOSED,9/13/1994,9/1/2021,5252025
child_care_centers,434417034,AS-SAFA INSTITUTE / AS-SAFA ACADEMY,"AS-SAFA INSTITUTE, LLC",HAJERA A. ALI,(408) 320-1958,801 HIBISCUS LANE,SAN JOSE,CA,95117,SANTA CLARA,7,10,CLOSED,,5/18/2022,5252025
child_care_centers,45406546,BANGOR PARENT COOPERATIVE PRESCHOOL,BANGOR UNION ELEMENTARY SCHOOL DISTRICT,"ALBERT, LAUREN",(530) 679-2434,7549 ORO BANGOR HWY,BANGOR,CA,95914,BUTTE,13,12,CLOSED,4/10/2014,3/10/2022,5252025
child_care_centers,434415489,BENA DREAM ACADEMY PRESCHOOL AND DAY CARE,FETHYA MOHAMMED,FNU PAVITHRA NAGENDRA,(111) 111-1111,521 SOUTH BASCOM AVENUE,SAN JOSE,CA,95050,SANTA CLARA,7,12,CLOSED,,6/5/2020,5252025
child_care_centers,394500462,BRIGHT BEGINNINGS PRESCHOOL,CENTRAL VALLEY BAPTIST CHURCH,CAROLINA ALVAREZ-STANLEY,(888) 982-8931,10948 SOUTH AIRPORT WAY,MANTECA,CA,95336,SAN JOAQUIN,53,12,CLOSED,2/11/2022,11/29/2024,5252025
child_care_centers,198012083,BRIGHT HORIZONS LOS ANGELES HOPE STREET,BRIGHT HORIZONS CHILDREN'S CENTER LLC,SAMANTHA MASSENGALE,(213) 623-0072,550 SOUTH HOPE STREET,LOS ANGELES,CA,90071,LOS ANGELES,33,12,CLOSED,6/2/2006,11/12/2024,5252025
child_care_centers,23624108,BUSY BEARS DAYCARE,"BEAR VALLEY PARENTS GROUP, INC.",UNKNOWN,(415) 934-8044,265 BEAR VALLEY ROAD #3,ALPINE,CA,95223,ALPINE,3,5,CLOSED,,12/3/2021,5252025
child_care_centers,23624378,BUSY BEARS PLAY SCHOOL,BUSY BEARS PLAY SCHOOL PS,"MATHEWS, MARIAH",(209) 768-7299,265 BEAR VALLEY ROAD #3,BEAR VALLEY,CA,95223,ALPINE,3,6,CLOSED,,2/10/2023,5252025
child_care_centers,274417136,CARMEL YOUTH CENTER,CARMEL YOUTH CENTER,SHERILYN NAPOLI,(831) 624-3285,FOURTH AVENUE & TORRES STREET,CARMEL-BY-THE-SEA,CA,93923,MONTEREY,7,12,CLOSED,,1/17/2024,5252025
child_care_centers,197419300,CHABAD PERSIAN YOUTH EARLY CHILDHOOD ED. CTR.,"CHABAD PERSIAN YOUTH SYNAGOGUE, INC.","PEER, SIMCHA AND MUSHKIE",(310) 777-0358,9022 W. PICO BLVD.,LOS ANGELES,CA,90035,LOS ANGELES,58,13,INACTIVE,7/1/2014,,5252025
child_care_centers,197494743,CHAMPIONS FOR PROGRESS/JAM CDC,"CHAMPIONS FOR PROGRESS, INC.",DR TERRI MCCASKILL,(310) 330-8000,333 W FLORENCE AVE,INGLEWOOD,CA,90301,LOS ANGELES,30,12,CLOSED,,11/16/2021,5252025
child_care_centers,198400902,COLORS AND PLAY DAYCARE/PRESCHOOL,"HARRIS, NENA","HARRIS, NENA",(323) 337-5390,2805 W JEFFERSON BLVD,LOS ANGELES,CA,90018,LOS ANGELES,54,12,CLOSED,,2/5/2024,5252025
child_care_centers,93623644,COOL LEARNING CENTER,COOL LEARNING CENTER INC. PS,"WILSON, KELLEY",(832) 340-4905,2968 HWY 49 SUITE D,COOL,CA,95614,EL DORADO,3,8,CLOSED,,10/7/2020,5252025
child_care_centers,426214450,CUYAMA CHRISTIAN ACADEMY,CUYAMA CHRISTIAN ACADEMY,KATHLEEN RICCI,(661) 766-9193,4803 CEBRIAN AVENUE,NEW CUYAMA,CA,93254,SANTA BARBARA,17,12,CLOSED,7/6/2014,6/5/2020,5252025
child_care_centers,376701544,DE COLORES PRESCHOOL,KATHERINE ARCINIEGA,KATHERINE ARCINIEGA,(508) 566-9156,3216 LANDIS STREET,SAN DIEGO,CA,92104,SAN DIEGO,20,10,CLOSED,,6/5/2023,5252025
child_care_centers,73406682,DIANNE ADAIR - DELTA VIEW PRESCHOOL,DIANE ADAIR DAY CARE CENTERS,"WOOLFOLK, MICHELE",(925) 682-8000,2916 RIO VERDE DRIVE,PITTSBURGH,CA,94565,CONTRA COSTA,2,10,INACTIVE,3/15/2012,,5252025
child_care_centers,198400708,DREAM WORLD DAY CARE CENTER,"RUFFINS, KAREN","RUFFINS, KAREN",(562) 658-5820,2021 W COMPTON BLVD,COMPTON,CA,90220,LOS ANGELES,54,12,CLOSED,,8/7/2023,5252025
child_care_centers,263808974,EDNA BEAMAN ELEMENTARY PRESCHOOL,EASTERN SIERRA U.S.D.,"CLARK, DON",(760) 932-7441,25541 HIGHWAY 6,BENTON,CA,93512,MONO,12,10,CLOSED,9/6/2016,8/17/2020,5252025
child_care_centers,376600901,FAMILY RECOVERY CENTER - CHILD DEV. CENTER,MENTAL HEALTH SYSTEMS INC.,MELISSA GREENWAY,(760) 227-1345,1100 SPORTFISHER DRIVE,OCEANSIDE,CA,92054,SAN DIEGO,10,12,CLOSED,12/18/2002,12/8/2023,5252025
child_care_centers,434412719,FAMILY SUPPORTIVE HOUSING-VOYAGER'S DAY CARE CTR,"FAMILY SUPPORTIVE HOUSING, INC.","CROWDER, PATRICIA",(408) 926-8885,692 NORTH KING ROAD,SAN JOSE,CA,95133,SANTA CLARA,7,12,INACTIVE,11/20/2012,,5252025
child_care_centers,304371618,FUNSHINE CHRISTIAN PRESCHOOL,"TUFTS, SANDRA","TUFTS, SANDRA",(714) 271-1784,7142 THOMAS STREET,BUENA PARK,CA,90621,ORANGE,6,6,CLOSED,,5/29/2023,5252025
child_care_centers,197494760,GOOD SPORTS PLUS LTD (DBA) ARC - GOOD SHEPHERD,GOOD SPORTS PLUS LTD,NAJAE WILLIAMS,(310) 641-4400,148 S LINDEN DRIVE,BEVERLY HILLS,CA,90212,LOS ANGELES,58,12,CLOSED,1/31/2022,6/15/2022,5252025
child_care_centers,75700612,GRACIE'S PLACE PRESCHOOL,"GRACIE'S PLACE, LLC","PLATTS, DENISE",(925) 302-9092,1998 RANCHO PARK LOOP,SAN RAMON,CA,94582,CONTRA COSTA,52,13,CLOSED,1/30/2023,8/9/2023,5252025
child_care_centers,155601005,GROW IN ADVENTURE DAYCARE CENTER,"GONZALEZ, IVY","GONZALEZ, IVY",(661) 805-4114,1215 EYE ST,BAKERSFIELD,CA,93301,KERN,57,10,CLOSED,,5/18/2023,5252025
child_care_centers,343624402,HAGGINWOOD ACADEMY,HAGGINWOOD ACADEMY,"DAVIS, TRACEY MICHELLE",(916) 696-7575,3240 MARYSVILLE BLVD.,SACRAMENTO,CA,95815,SACRAMENTO,3,12,CLOSED,1/12/2023,10/8/2024,5252025
child_care_centers,483001548,HEAD START - WASHINGTON PARK,"CHILD START, INC.","A.LEWIS, A. GOVAN",(707) 645-0980,900 OHIO STREET,VALLEJO,CA,94590,SOLANO,1,12,CLOSED,12/9/1996,12/8/2023,5252025
child_care_centers,198400136,HOPEE DAYCARE CENTER,ALAKE TG LASISI,ALAKE LASISI,(626) 716-0122,6315 EASTERN AVE,BELL GARDENS,CA,90201,LOS ANGELES,54,8,INACTIVE,9/7/2021,,5252025
child_care_centers,384002426,ICRI-PROJECT COMMOTION-LAS LUCIERNAGAS,INTERNATIONAL CHILD RESOURCE EXCHANGE INSTITUTE,"OSTERHOFF, SUSAN",(415) 252-8059,2095 HARRISON STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,5,12,CLOSED,5/11/2016,9/29/2021,5252025
child_care_centers,157750007,IMAGINATION SPRINGS,MICHELLE STORY,MICHELLE STORY,(619) 646-0926,2771 STALLION SPRIGS DR,TEHACHAPI,CA,93561,KERN,12,12,CLOSED,,1/25/2023,5252025
